state_code,district_code,level_name,statename,districtname,date,value,variable,graph_title
1,1,district,Jammu & Kashmir,Kupwara,2015-01-01,2.40,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,2,district,Jammu & Kashmir,Badgam,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,3,district,Jammu & Kashmir,Leh(Ladakh),2015-01-01,3.80,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,5,district,Jammu & Kashmir,Punch,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,6,district,Jammu & Kashmir,Rajouri,2015-01-01,4.50,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,7,district,Jammu & Kashmir,Kathua,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,8,district,Jammu & Kashmir,Baramula,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,9,district,Jammu & Kashmir,Bandipore,2015-01-01,2.70,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,10,district,Jammu & Kashmir,Srinagar,2015-01-01,0.00,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
1,11,district,Jammu & Kashmir,Ganderbal,2015-01-01,3.60,"sector : total; Gender : Female; Response : Yes; Residence : Total","Death during or after Pregnancy by Sector and District (percent, Source: NFHS)"
