Date,Facets,Value,Units
01-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",22.46706,mn. transactions
02-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",23.38299,mn. transactions
03-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",23.282040000000002,mn. transactions
04-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",24.24964,mn. transactions
05-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",19.35357,mn. transactions
06-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",25.18598,mn. transactions
07-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",39.823049999999995,mn. transactions
08-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",26.04187,mn. transactions
09-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",25.08896,mn. transactions
10-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",24.592249999999996,mn. transactions
11-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",25.361510000000003,mn. transactions
12-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",24.879250000000003,mn. transactions
13-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",24.605880000000003,mn. transactions
14-02-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",46.67246,mn. transactions
