Date,Facets,Value,Units
01-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",16.44707,mn. transactions
02-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",26.605939999999997,mn. transactions
03-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",45.259159999999994,mn. transactions
04-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",22.98625,mn. transactions
05-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",22.59168,mn. transactions
06-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",22.544130000000003,mn. transactions
07-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",24.21466,mn. transactions
08-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",19.07807,mn. transactions
09-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",16.589190000000002,mn. transactions
10-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",38.42793,mn. transactions
11-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",22.48995,mn. transactions
12-01-2022,"{""Category"":""Card Network Operated"",""Type of Card"":""Credit Card"",""Channel"":""at PoS"",""Indicator"":""Volume""}",23.04175,mn. transactions
