Year,Currency,Value
2007-2008,Rs.,"101,231,169.93"
2007-2008,US$,"251,654.01"
2008-2009,Rs.,"137,443,555.45"
2008-2009,US$,"303,696.31"
2009-2010,Rs.,"136,373,554.76"
2009-2010,US$,"288,372.88"
2010-2011,Rs.,"168,346,695.57"
2010-2011,US$,"369,769.13"
2011-2012,Rs.,"234,546,324.45"
2011-2012,US$,"489,319.49"
2012-2013,Rs.,"266,916,195.69"
2012-2013,US$,"490,736.65"
2013-2014,Rs.,"271,543,390.74"
2013-2014,US$,"450,199.79"
2014-2015,Rs.,"273,708,657.84"
2014-2015,US$,"448,033.41"
2015-2016,Rs.,"249,030,553.78"
2015-2016,US$,"381,007.76"
2016-2017,Rs.,"257,767,536.68"
2016-2017,US$,"384,357.03"
2017-2018,Rs.,"300,103,343.35"
2017-2018,US$,"465,580.99"
